=========================================
Job ID          : 21101499
Node            : skl-a-45
PTM type        : phos_y
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Fri Mar 20 11:15:49 PM EDT 2026
=========================================
===== Starting hyperparameter search for PTM_TYPE=phos_y =====

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 035 | train_loss=0.0598 | val_loss=1.4644 | val_mcc=0.4078 | val_f1=0.5063
Best model saved to: classifier_runs/phos_y/cnn_gru/20260321_011115/model_best.pt
Finished config: model=cnn_gru, conv_layers=2, rnn_layers=1. Run dir: classifier_runs/phos_y/cnn_gru/20260321_011115

=== Running config: model=cnn_gru, conv_layers=2, rnn_layers=2, epochs=35 ===
Epoch 001 | train_loss=0.6369 | val_loss=0.5959 | val_mcc=0.3054 | val_f1=0.4458
Epoch 002 | train_loss=0.5797 | val_loss=0.5789 | val_mcc=0.3194 | val_f1=0.4539
Epoch 003 | train_loss=0.5522 | val_loss=0.5649 | val_mcc=0.3538 | val_f1=0.4820
Epoch 004 | train_loss=0.5217 | val_loss=0.6127 | val_mcc=0.3757 | val_f1=0.4913
Epoch 005 | train_loss=0.4834 | val_loss=0.5523 | val_mcc=0.3519 | val_f1=0.4801
Epoch 006 | train_loss=0.4318 | val_loss=0.5750 | val_mcc=0.3880 | val_f1=0.5078
Epoch 007 | train_loss=0.3747 | val_loss=0.6149 | val_mcc=0.3940 | val_f1=0.5113
Epoch 008 | train_loss=0.3134 | val_loss=0.6071 | val_mcc=0.3916 | val_f1=0.5105
Epoch 009 | train_loss=0.2633 | val_loss=0.7330 | val_mcc=0.3992 | val_f1=0.5135
Epoch 010 | train_loss=0.2194 | val_loss=0.7689 | val_mcc=0.3985 | val_f1=0.5148
Epoch 011 | train_loss=0.1797 | val_loss=1.1035 | val_mcc=0.4041 | val_f1=0.5009
Epoch 012 | train_loss=0.1654 | val_loss=1.1467 | val_mcc=0.4178 | val_f1=0.5142
Epoch 013 | train_loss=0.1486 | val_loss=1.0126 | val_mcc=0.4268 | val_f1=0.5245
Epoch 014 | train_loss=0.1363 | val_loss=1.0510 | val_mcc=0.4131 | val_f1=0.5054
Epoch 015 | train_loss=0.1192 | val_loss=1.1850 | val_mcc=0.4194 | val_f1=0.5216
Epoch 016 | train_loss=0.1220 | val_loss=1.0370 | val_mcc=0.4159 | val_f1=0.5087
Epoch 017 | train_loss=0.1073 | val_loss=1.1268 | val_mcc=0.4220 | val_f1=0.5270
Epoch 018 | train_loss=0.1053 | val_loss=1.2554 | val_mcc=0.4198 | val_f1=0.5118
Epoch 019 | train_loss=0.1005 | val_loss=1.1664 | val_mcc=0.4169 | val_f1=0.5271
Epoch 020 | train_loss=0.1032 | val_loss=1.4206 | val_mcc=0.4129 | val_f1=0.5025
Epoch 021 | train_loss=0.0938 | val_loss=1.2555 | val_mcc=0.4206 | val_f1=0.5172
Epoch 022 | train_loss=0.0937 | val_loss=1.2750 | val_mcc=0.4185 | val_f1=0.5252
Epoch 023 | train_loss=0.0903 | val_loss=1.2491 | val_mcc=0.4178 | val_f1=0.5198
Epoch 024 | train_loss=0.0838 | val_loss=1.2968 | val_mcc=0.4299 | val_f1=0.5127
Epoch 025 | train_loss=0.0862 | val_loss=1.6209 | val_mcc=0.4121 | val_f1=0.5018
Epoch 026 | train_loss=0.0833 | val_loss=1.3136 | val_mcc=0.4148 | val_f1=0.5199
Epoch 027 | train_loss=0.0792 | val_loss=1.0629 | val_mcc=0.4066 | val_f1=0.5209
Epoch 028 | train_loss=0.0816 | val_loss=1.4762 | val_mcc=0.4148 | val_f1=0.4970
Epoch 029 | train_loss=0.0738 | val_loss=1.3017 | val_mcc=0.4110 | val_f1=0.5225
Epoch 030 | train_loss=0.0753 | val_loss=1.2304 | val_mcc=0.4073 | val_f1=0.4973
Epoch 031 | train_loss=0.0710 | val_loss=1.5498 | val_mcc=0.4182 | val_f1=0.5006
Epoch 032 | train_loss=0.0743 | val_loss=1.4412 | val_mcc=0.4046 | val_f1=0.5082
Epoch 033 | train_loss=0.0780 | val_loss=1.2370 | val_mcc=0.4134 | val_f1=0.5140
Epoch 034 | train_loss=0.0689 | val_loss=1.3943 | val_mcc=0.4264 | val_f1=0.5245
Epoch 035 | train_loss=0.0651 | val_loss=1.2617 | val_mcc=0.4200 | val_f1=0.5276
Best model saved to: classifier_runs/phos_y/cnn_gru/20260321_014355/model_best.pt
Finished config: model=cnn_gru, conv_layers=2, rnn_layers=2. Run dir: classifier_runs/phos_y/cnn_gru/20260321_014355

=== Running config: model=cnn_gru, conv_layers=2, rnn_layers=3, epochs=35 ===
Epoch 001 | train_loss=0.6418 | val_loss=0.6085 | val_mcc=0.2765 | val_f1=0.4255
Epoch 002 | train_loss=0.5949 | val_loss=0.5942 | val_mcc=0.3063 | val_f1=0.4472
Epoch 003 | train_loss=0.5862 | val_loss=0.6294 | val_mcc=0.2065 | val_f1=0.3610
Epoch 004 | train_loss=0.5697 | val_loss=0.5822 | val_mcc=0.3188 | val_f1=0.4553
Epoch 005 | train_loss=0.5478 | val_loss=0.5688 | val_mcc=0.3252 | val_f1=0.4585
Epoch 006 | train_loss=0.5264 | val_loss=0.5755 | val_mcc=0.3564 | val_f1=0.4823
Epoch 007 | train_loss=0.4995 | val_loss=0.5592 | val_mcc=0.3500 | val_f1=0.4771
Epoch 008 | train_loss=0.4632 | val_loss=0.6233 | val_mcc=0.3724 | val_f1=0.4958
Epoch 009 | train_loss=0.4306 | val_loss=0.5596 | val_mcc=0.3621 | val_f1=0.4874
Epoch 010 | train_loss=0.3889 | val_loss=0.5821 | val_mcc=0.3552 | val_f1=0.4795
Epoch 011 | train_loss=0.3437 | val_loss=0.6315 | val_mcc=0.3704 | val_f1=0.4947
Epoch 012 | train_loss=0.3108 | val_loss=0.6646 | val_mcc=0.3692 | val_f1=0.4924
Epoch 013 | train_loss=0.2707 | val_loss=0.8252 | val_mcc=0.3734 | val_f1=0.4968
Epoch 014 | train_loss=0.2375 | val_loss=0.7452 | val_mcc=0.3723 | val_f1=0.4941
Epoch 015 | train_loss=0.2095 | val_loss=0.9338 | val_mcc=0.3828 | val_f1=0.5038
Epoch 016 | train_loss=0.1938 | val_loss=0.8183 | val_mcc=0.3699 | val_f1=0.4943
Epoch 017 | train_loss=0.1744 | val_loss=0.9161 | val_mcc=0.3715 | val_f1=0.4952
Epoch 018 | train_loss=0.1668 | val_loss=0.8766 | val_mcc=0.3538 | val_f1=0.4810
Epoch 019 | train_loss=0.1428 | val_loss=0.9310 | val_mcc=0.3925 | val_f1=0.5090
Epoch 020 | train_loss=0.1355 | val_loss=0.9685 | val_mcc=0.3747 | val_f1=0.4977
Epoch 021 | train_loss=0.1256 | val_loss=1.1515 | val_mcc=0.3781 | val_f1=0.4985
Epoch 022 | train_loss=0.1193 | val_loss=1.0756 | val_mcc=0.3809 | val_f1=0.4945
Epoch 023 | train_loss=0.1120 | val_loss=1.0484 | val_mcc=0.3892 | val_f1=0.5024
Epoch 024 | train_loss=0.1143 | val_loss=0.9455 | val_mcc=0.3887 | val_f1=0.5071
Epoch 025 | train_loss=0.1007 | val_loss=0.9201 | val_mcc=0.3838 | val_f1=0.5033
Epoch 026 | train_loss=0.1012 | val_loss=1.1616 | val_mcc=0.3698 | val_f1=0.4898
Epoch 027 | train_loss=0.0965 | val_loss=1.5483 | val_mcc=0.3971 | val_f1=0.5119
Epoch 028 | train_loss=0.0913 | val_loss=1.0622 | val_mcc=0.3729 | val_f1=0.4965
Epoch 029 | train_loss=0.0981 | val_loss=1.1555 | val_mcc=0.3599 | val_f1=0.4857
Epoch 030 | train_loss=0.0966 | val_loss=1.0166 | val_mcc=0.3965 | val_f1=0.5123
Epoch 031 | train_loss=0.0923 | val_loss=1.2119 | val_mcc=0.4056 | val_f1=0.5205
Epoch 032 | train_loss=0.0815 | val_loss=1.1059 | val_mcc=0.3430 | val_f1=0.4734
Epoch 033 | train_loss=0.0872 | val_loss=1.3127 | val_mcc=0.3950 | val_f1=0.5075
Epoch 034 | train_loss=0.0833 | val_loss=1.0572 | val_mcc=0.3410 | val_f1=0.4723
Epoch 035 | train_loss=0.0837 | val_loss=1.4669 | val_mcc=0.3958 | val_f1=0.5093
Best model saved to: classifier_runs/phos_y/cnn_gru/20260321_021725/model_best.pt
Finished config: model=cnn_gru, conv_layers=2, rnn_layers=3. Run dir: classifier_runs/phos_y/cnn_gru/20260321_021725

=== Running config: model=cnn_gru, conv_layers=3, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.6194 | val_loss=0.6083 | val_mcc=0.3072 | val_f1=0.4332
Epoch 002 | train_loss=0.5687 | val_loss=0.5696 | val_mcc=0.3252 | val_f1=0.4584
Epoch 003 | train_loss=0.5175 | val_loss=0.5729 | val_mcc=0.3745 | val_f1=0.4977
Epoch 004 | train_loss=0.4616 | val_loss=0.5419 | val_mcc=0.3711 | val_f1=0.4940
Epoch 005 | train_loss=0.3917 | val_loss=0.5441 | val_mcc=0.3827 | val_f1=0.4995
Epoch 006 | train_loss=0.3212 | val_loss=0.6109 | val_mcc=0.4065 | val_f1=0.5217
Epoch 007 | train_loss=0.2655 | val_loss=0.6717 | val_mcc=0.3985 | val_f1=0.5159
Epoch 008 | train_loss=0.2185 | val_loss=0.8197 | val_mcc=0.4226 | val_f1=0.5250
Epoch 009 | train_loss=0.1877 | val_loss=0.8172 | val_mcc=0.4154 | val_f1=0.5272
Epoch 010 | train_loss=0.1597 | val_loss=0.8006 | val_mcc=0.4457 | val_f1=0.5499
Epoch 011 | train_loss=0.1426 | val_loss=0.9035 | val_mcc=0.4271 | val_f1=0.5350
Epoch 012 | train_loss=0.1338 | val_loss=1.2973 | val_mcc=0.4080 | val_f1=0.5040
Epoch 013 | train_loss=0.1223 | val_loss=1.2696 | val_mcc=0.4250 | val_f1=0.5184
Epoch 014 | train_loss=0.1096 | val_loss=1.1905 | val_mcc=0.4371 | val_f1=0.5390
Epoch 015 | train_loss=0.1080 | val_loss=1.5272 | val_mcc=0.4117 | val_f1=0.4993
Epoch 016 | train_loss=0.0981 | val_loss=1.1151 | val_mcc=0.4174 | val_f1=0.5266
Epoch 017 | train_loss=0.0949 | val_loss=0.9293 | val_mcc=0.4119 | val_f1=0.5261
Epoch 018 | train_loss=0.0959 | val_loss=1.0763 | val_mcc=0.4399 | val_f1=0.5433
Epoch 019 | train_loss=0.0864 | val_loss=1.4319 | val_mcc=0.4412 | val_f1=0.5330
Epoch 020 | train_loss=0.0834 | val_loss=1.4811 | val_mcc=0.4439 | val_f1=0.5329
Epoch 021 | train_loss=0.0838 | val_loss=0.9176 | val_mcc=0.4308 | val_f1=0.5349
Epoch 022 | train_loss=0.0788 | val_loss=1.5190 | val_mcc=0.4402 | val_f1=0.5415
Epoch 023 | train_loss=0.0824 | val_loss=1.4524 | val_mcc=0.4273 | val_f1=0.5183
Epoch 024 | train_loss=0.0724 | val_loss=1.4361 | val_mcc=0.4411 | val_f1=0.5405
Epoch 025 | train_loss=0.0697 | val_loss=1.1572 | val_mcc=0.4352 | val_f1=0.5300
Epoch 026 | train_loss=0.0718 | val_loss=1.3667 | val_mcc=0.4275 | val_f1=0.5210
Epoch 027 | train_loss=0.0645 | val_loss=1.6489 | val_mcc=0.4393 | val_f1=0.5315
Epoch 028 | train_loss=0.0693 | val_loss=1.3642 | val_mcc=0.4355 | val_f1=0.5396
Epoch 029 | train_loss=0.0621 | val_loss=1.4173 | val_mcc=0.4336 | val_f1=0.5284
Epoch 030 | train_loss=0.0623 | val_loss=1.5539 | val_mcc=0.4293 | val_f1=0.5089
Epoch 031 | train_loss=0.0637 | val_loss=1.6684 | val_mcc=0.4368 | val_f1=0.5284
